county,veterans_2023
Anderson,3718
Andrews,645
Angelina,4390
Aransas,1669
Archer,546
Armstrong,79
Atascosa,3884
Austin,1343
Bailey,235
Bandera,1653
Bastrop,6420
Baylor,221
Bee,2174
Bell,69972
Bexar,170569
Blanco,881
Borden,27
Bosque,1117
Bowie,5869
Brazoria,17290
Brazos,8080
Brewster,331
Briscoe,61
Brooks,364
Brown,2106
Burleson,1009
Burnet,7657
Caldwell,3030
Calhoun,1152
Callahan,758
Cameron,13265
Camp,996
Carson,248
Cass,1798
Castro,315
Chambers,2450
Cherokee,2714
Childress,285
Clay,653
Cochran,87
Coke,139
Coleman,425
Collin,40917
Collingsworth,113
Colorado,915
Comal,16461
Comanche,752
Concho,140
Cooke,2811
Coryell,12950
Cottle,88
Crane,162
Crockett,131
Crosby,175
Culberson,76
Dallam,303
Dallas,81981
Dawson,527
Deaf Smith,793
Delta,295
Denton,44181
Dewitt,1198
Dickens,60
Dimmit,185
Donley,139
Duval,211
Eastland,980
Ector,5494
Edwards,73
El Paso,64845
Ellis,11101
Erath,2793
Falls,1040
Fannin,2406
Fayette,1614
Fisher,203
Floyd,184
Foard,70
Fort Bend,27601
Franklin,583
Freestone,1191
Frio,1458
Gaines,749
Galveston,20839
Garza,198
Gillespie,2069
Glasscock,47
Goliad,423
Gonzales,1188
Gray,906
Grayson,9146
Gregg,6052
Grimes,1675
Guadalupe,19847
Hale,1108
Hall,120
Hamilton,1282
Hansford,226
Hardeman,226
Hardin,2851
Harris,152982
Harrison,4422
Hartley,229
Haskell,299
Hays,13252
Hemphill,144
Henderson,5273
Hidalgo,19248
Hill,2198
Hockley,734
Hood,4044
Hopkins,2069
Houston,1408
Howard,1476
Hudspeth,111
Hunt,6289
Hutchinson,880
Irion,64
Jack,541
Jackson,906
Jasper,1980
Jeff Davis,69
Jefferson,12273
Jim Hogg,104
Jim Wells,2002
Johnson,8716
Jones,1088
Karnes,889
Kaufman,7098
Kendall,3428
Kenedy,18
Kent,42
Kerr,4072
Kimble,182
King,9
Kinney,161
Kleberg,1598
Knox,185
La Salle,143
Lamar,2817
Lamb,444
Lampasas,3372
Lavaca,1228
Lee,1155
Leon,900
Liberty,4820
Limestone,1357
Lipscomb,131
Live Oak,583
Llano,3311
Loving,2
Lubbock,12651
Lynn,191
Madison,770
Marion,625
Martin,222
Mason,167
Matagorda,1614
Maverick,2981
McCulloch,323
McLennan,14343
McMullen,13
Medina,4024
Menard,83
Midland,6199
Milam,1417
Mills,694
Mitchell,497
Montague,1275
Montgomery,33970
Moore,912
Morris,673
Motley,36
Nacogdoches,3284
Navarro,3225
Newton,734
Nolan,815
Nueces,24203
Ochiltree,428
Oldham,75
Orange,4299
Palo Pinto,1865
Panola,1211
Parker,12460
Parmer,422
Pecos,643
Polk,3198
Potter,5315
Presidio,213
Rains,972
Randall,10071
Reagan,143
Real,142
Red River,652
Reeves,511
Refugio,472
Roberts,35
Robertson,959
Rockwall,6784
Runnels,547
Rusk,2811
Sabine,594
San Augustine,475
San Jacinto,1748
San Patricio,4815
San Saba,893
Schleicher,104
Scurry,936
Shackelford,171
Shelby,1443
Sherman,119
Smith,10780
Somervell,604
Starr,1412
Stephens,503
Sterling,58
Stonewall,69
Sutton,143
Swisher,297
Tarrant,103061
Taylor,14495
Terrell,32
Terry,403
Throckmorton,79
Titus,1757
Tom Green,11075
Travis,48585
Trinity,867
Tyler,1189
Upshur,2626
Upton,140
Uvalde,1265
Val Verde,2451
Van Zandt,4756
Victoria,5232
Walker,4875
Waller,2528
Ward,404
Washington,2049
Webb,5864
Wharton,1850
Wheeler,213
Wichita,16101
Wilbarger,824
Willacy,1038
Williamson,39674
Wilson,3006
Winkler,270
Wise,4384
Wood,3582
Yoakum,262
Young,1142
Zapata,298
Zavala,498
